Symbol;Name;Last Sale;Net Change;% Change;Market Cap;Country;IPO Year;Volume;Sector;Industry
SRLP;Sprague Resources LP Common Units representing Limited Partner Interests;$16.91;0.12;0.715%;443626190.00;;2013;22768;Energy;Oil Refining/Marketing
SSL;Sasol Ltd. American Depositary Shares;$17.26;0.50;2983%;10948579675.00;South Africa;;86330;Energy;Oil & Gas Production
SUN;Sunoco LP Common Units representing limited partner interests;$39.57;0.16;0.406%;3298243507.00;United States;2012;68898;Energy;Oil Refining/Marketing
SWN;Southwestern Energy Company Common Stock;$5.255;0.435;9025%;5333710425.00;United States;;15030955;Energy;Oil & Gas Production
TALO;Talos Energy Inc. Common Stock;$10.99;0.15;1384%;899877432.00;;2018;404426;Energy;Oil & Gas Production
TDW;Tidewater Inc. Common Stock;$11.84;-0.30;-2471%;487100039.00;United States;2017;36155;Energy;Oilfield Services/Equipment
TELL;Tellurian Inc. Common Stock;$3.915;0.115;3026%;1875304818.00;United States;;4908291;Energy;Oil & Gas Production
TH;Target Hospitality Corp. Common Stock;$4.76;0.27;6013%;484699076.00;United States;2018;55150;Energy;Oil & Gas Production
THWWW;Target Hospitality Corp. Warrant expiring 3/15/2024;$0.4367;0.036;8984%;0.00;United States;2018;11780;Energy;Oil & Gas Production
TPL;Texas Pacific Land Corporation Common Stock;$1338.99;-0.91;-0.068%;10372005338.00;United States;;4813;Energy;Oil & Gas Production
TTE;TotalEnergies SE;$50.35;0.23;0.459%;132936885522.00;France;;1399988;Energy;Oil & Gas Production
TTI;Tetra Technologies Inc. Common Stock;$3.395;-0.035;-1.02%;430962672.00;United States;;120291;Energy;Oil & Gas Production
TUSK;Mammoth Energy Services Inc. Common Stock;$2.85;-0.04;-1384%;133040083.00;United States;2016;20272;Energy;Oilfield Services/Equipment
UGP;Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share);$2.55;0.17;7143%;2780438545.00;Brazil;;1854987;Energy;Oil Refining/Marketing
